study,mT,sdT,nT,mC,sdC,nC,group,length,time
x,67.59,19.26,17,51.9,28.32,20,1,0,0
x,53.11,21.73,18,51.9,28.32,20,2,0,0
x,59.35,18.39,20,51.9,28.32,20,3,0,0
x,82.53,14.33,17,52.75,23.26,20,1,0,1
x,77.5,16.07,18,52.75,23.26,20,2,0,1
x,81.25,13,20,52.75,23.26,20,3,0,1
x,82.65,15.47,17,63.9,18.89,20,1,7,2
x,76.78,20.67,18,63.9,18.89,20,2,7,2
x,80.05,12.09,20,63.9,18.89,20,3,7,2
