class,id,order,task_dif,time,score,cal,time_on_task,length_writing,time.,task_motive
1,3,s2c,complex,4,0.86,ac_EFC/C,37,420,even,4.444444444444445
1,3,s2c,complex,4,73.83,lex_Vocd,37,420,even,4.444444444444445
1,3,s2c,complex,4,1.72,lex_WRDFRQmc,37,420,even,4.444444444444445
1,4,s2c,simple,1,14.29,com_MLTU,32,431,odd,1.6666666666666667
1,4,s2c,simple,1,0.82,com_DC/T,32,431,odd,1.6666666666666667
1,4,s2c,simple,1,1.74,com_CN/T,32,431,odd,1.6666666666666667
1,4,s2c,simple,1,1.381,com_CN/C,32,431,odd,1.6666666666666667
1,4,s2c,simple,1,0.66,ac_EFC/C,32,431,odd,1.6666666666666667
1,4,s2c,simple,1,44.8,lex_Vocd,32,431,odd,1.6666666666666667
1,4,s2c,simple,1,1.63,lex_WRDFRQmc,32,431,odd,1.6666666666666667
1,4,s2c,complex,2,17.27,com_MLTU,31,359,even,4.555555555555555
1,4,s2c,complex,2,0.93,com_DC/T,31,359,even,4.555555555555555
1,4,s2c,complex,2,1.65,com_CN/T,31,359,even,4.555555555555555
1,4,s2c,complex,2,1.2791,com_CN/C,31,359,even,4.555555555555555
1,4,s2c,complex,2,0.53,ac_EFC/C,31,359,even,4.555555555555555
1,4,s2c,complex,2,78.62,lex_Vocd,31,359,even,4.555555555555555
1,4,s2c,complex,2,1.74,lex_WRDFRQmc,31,359,even,4.555555555555555
1,4,s2c,simple,3,16.74,com_MLTU,30,510,odd,1.5555555555555556
1,4,s2c,simple,3,0.62,com_DC/T,30,510,odd,1.5555555555555556
1,4,s2c,simple,3,1.93,com_CN/T,30,510,odd,1.5555555555555556
1,4,s2c,simple,3,1.2766,com_CN/C,30,510,odd,1.5555555555555556
1,4,s2c,simple,3,0.59,ac_EFC/C,30,510,odd,1.5555555555555556
1,4,s2c,simple,3,78.52,lex_Vocd,30,510,odd,1.5555555555555556
1,4,s2c,simple,3,1.71,lex_WRDFRQmc,30,510,odd,1.5555555555555556
1,4,s2c,complex,4,16.14,com_MLTU,38,418,even,3.7777777777777777
1,4,s2c,complex,4,0.63,com_DC/T,38,418,even,3.7777777777777777
1,4,s2c,complex,4,1.93,com_CN/T,38,418,even,3.7777777777777777
1,4,s2c,complex,4,1.1553,com_CN/C,38,418,even,3.7777777777777777
1,4,s2c,complex,4,0.59,ac_EFC/C,38,418,even,3.7777777777777777
1,4,s2c,complex,4,69.85,lex_Vocd,38,418,even,3.7777777777777777
1,4,s2c,complex,4,1.81,lex_WRDFRQmc,38,418,even,3.7777777777777777
1,5,s2c,simple,1,16.56,com_MLTU,28,352,odd,2.4444444444444446
1,5,s2c,simple,1,0.54,com_DC/T,28,352,odd,2.4444444444444446
1,5,s2c,simple,1,1.6667,com_CN/T,28,352,odd,2.4444444444444446
1,5,s2c,simple,1,1.5263,com_CN/C,28,352,odd,2.4444444444444446
1,5,s2c,simple,1,0.49,ac_EFC/C,28,352,odd,2.4444444444444446
1,5,s2c,simple,1,49.46,lex_Vocd,28,352,odd,2.4444444444444446
1,5,s2c,simple,1,1.96,lex_WRDFRQmc,28,352,odd,2.4444444444444446
1,5,s2c,complex,2,16.82,com_MLTU,34,354,even,4.555555555555555
1,5,s2c,complex,2,0.66,com_DC/T,34,354,even,4.555555555555555
1,5,s2c,complex,2,1.82,com_CN/T,34,354,even,4.555555555555555
1,5,s2c,complex,2,1.0812,com_CN/C,34,354,even,4.555555555555555
1,5,s2c,complex,2,0.54,ac_EFC/C,34,354,even,4.555555555555555
1,5,s2c,complex,2,70.94,lex_Vocd,34,354,even,4.555555555555555
1,5,s2c,complex,2,1.84,lex_WRDFRQmc,34,354,even,4.555555555555555
1,5,s2c,simple,3,14.69,com_MLTU,29,506,odd,1.7777777777777777
1,5,s2c,simple,3,0.71,com_DC/T,29,506,odd,1.7777777777777777
1,5,s2c,simple,3,1.87,com_CN/T,29,506,odd,1.7777777777777777
1,5,s2c,simple,3,1.2914,com_CN/C,29,506,odd,1.7777777777777777
1,5,s2c,simple,3,0.53,ac_EFC/C,29,506,odd,1.7777777777777777
1,5,s2c,simple,3,71.26,lex_Vocd,29,506,odd,1.7777777777777777
1,5,s2c,simple,3,1.56,lex_WRDFRQmc,29,506,odd,1.7777777777777777
1,5,s2c,complex,4,17.83,com_MLTU,36,487,even,3.888888888888889
1,5,s2c,complex,4,0.71,com_DC/T,36,487,even,3.888888888888889
1,5,s2c,complex,4,1.89,com_CN/T,36,487,even,3.888888888888889
1,5,s2c,complex,4,0.9167,com_CN/C,36,487,even,3.888888888888889
1,5,s2c,complex,4,0.76,ac_EFC/C,36,487,even,3.888888888888889
1,5,s2c,complex,4,79.41,lex_Vocd,36,487,even,3.888888888888889
1,5,s2c,complex,4,1.87,lex_WRDFRQmc,36,487,even,3.888888888888889
1,6,s2c,simple,1,19.53,com_MLTU,25,430,odd,2.3333333333333335
1,6,s2c,simple,1,0.51,com_DC/T,25,430,odd,2.3333333333333335
1,6,s2c,simple,1,1.6722,com_CN/T,25,430,odd,2.3333333333333335
1,6,s2c,simple,1,0.6667,com_CN/C,25,430,odd,2.3333333333333335
1,6,s2c,simple,1,0.65,ac_EFC/C,25,430,odd,2.3333333333333335
1,6,s2c,simple,1,63.13,lex_Vocd,25,430,odd,2.3333333333333335
1,6,s2c,simple,1,1.88,lex_WRDFRQmc,25,430,odd,2.3333333333333335
1,6,s2c,complex,2,15.41,com_MLTU,30,361,even,4.555555555555555
1,6,s2c,complex,2,0.59,com_DC/T,30,361,even,4.555555555555555
1,6,s2c,complex,2,1.94,com_CN/T,30,361,even,4.555555555555555
1,6,s2c,complex,2,1.0312,com_CN/C,30,361,even,4.555555555555555
1,6,s2c,complex,2,0.52,ac_EFC/C,30,361,even,4.555555555555555
1,6,s2c,complex,2,73.29,lex_Vocd,30,361,even,4.555555555555555
1,6,s2c,complex,2,1.68,lex_WRDFRQmc,30,361,even,4.555555555555555
1,6,s2c,simple,3,15.83,com_MLTU,23,470,odd,1.2222222222222223
1,6,s2c,simple,3,0.77,com_DC/T,23,470,odd,1.2222222222222223
1,6,s2c,simple,3,1.79,com_CN/T,23,470,odd,1.2222222222222223
1,6,s2c,simple,3,1.2219,com_CN/C,23,470,odd,1.2222222222222223
1,6,s2c,simple,3,0.53,ac_EFC/C,23,470,odd,1.2222222222222223
1,6,s2c,simple,3,68.84,lex_Vocd,23,470,odd,1.2222222222222223
1,6,s2c,simple,3,1.78,lex_WRDFRQmc,23,470,odd,1.2222222222222223
1,6,s2c,complex,4,16.05,com_MLTU,31,391,even,3.555555555555556
1,6,s2c,complex,4,0.54,com_DC/T,31,391,even,3.555555555555556
1,6,s2c,complex,4,1.82,com_CN/T,31,391,even,3.555555555555556
1,6,s2c,complex,4,0.9726,com_CN/C,31,391,even,3.555555555555556
1,6,s2c,complex,4,0.69,ac_EFC/C,31,391,even,3.555555555555556
1,6,s2c,complex,4,78.58,lex_Vocd,31,391,even,3.555555555555556
1,6,s2c,complex,4,1.79,lex_WRDFRQmc,31,391,even,3.555555555555556
1,7,s2c,simple,1,17.44,com_MLTU,26,322,odd,1.7777777777777777
1,7,s2c,simple,1,0.91,com_DC/T,26,322,odd,1.7777777777777777
1,7,s2c,simple,1,2.7059,com_CN/T,26,322,odd,1.7777777777777777
1,7,s2c,simple,1,1.3793,com_CN/C,26,322,odd,1.7777777777777777
