"stid","group","year","scale"
225,"C",1,1697
225,"C",2,1809
226,"C",0,1330
226,"C",1,1621
226,"C",2,1625
227,"T",2,1563
228,"T",0,1511
228,"T",1,1565
229,"T",0,1454
229,"T",1,1565
229,"T",2,1667
230,"T",0,1208
230,"T",1,1549
231,"C",0,1208
231,"C",1,1299
231,"C",2,1308
232,"T",0,1454
232,"T",1,1549
233,"C",0,1437
234,"C",0,1472
234,"C",1,1589
234,"C",2,1667
235,"T",0,1405
235,"T",1,1589
236,"T",0,1345
237,"C",0,1559
237,"C",1,1643
237,"C",2,1688
238,"T",0,1298
239,"T",0,1282
239,"T",1,1387
239,"T",2,1563
240,"C",0,1454
240,"C",1,1503
240,"C",2,1594
241,"C",0,1533
241,"C",1,1589
241,"C",2,1578
242,"T",2,1611
243,"C",0,1421
243,"C",1,1549
244,"C",0,1472
244,"C",1,1533
244,"C",2,1724
245,"T",0,1345
245,"T",1,1467
246,"T",0,1405
246,"T",1,1601
246,"T",2,1809
247,"T",1,1503
248,"T",0,1675
248,"T",1,1862
248,"T",2,1943
249,"C",0,1511
249,"C",1,1697
249,"C",2,1724
250,"T",0,1511
250,"T",1,1488
251,"C",0,1559
251,"C",1,1697
251,"C",2,1739
252,"T",0,1405
252,"T",1,1549
253,"C",0,1486
253,"C",1,1643
253,"C",2,1594
254,"C",1,1467
254,"C",2,1385
255,"C",0,1472
255,"C",1,1697
256,"T",0,1282
256,"T",1,1589
256,"T",2,1647
257,"T",0,1559
258,"T",0,1486
259,"T",0,1437
259,"T",1,1467
260,"C",0,1511
261,"C",1,1601
262,"C",0,1314
263,"C",0,1454
264,"C",0,1282
265,"T",0,1298
266,"T",0,1596
267,"T",0,1330
268,"C",0,1129
269,"T",0,1486
270,"C",0,1298
271,"C",0,1314
272,"C",0,1375
273,"T",0,1185
273,"T",1,1431
274,"T",1,1733
275,"T",0,1208
275,"T",1,1319
276,"C",0,1625
276,"C",1,1733
277,"C",0,1596
278,"C",0,1330
279,"C",0,1330
279,"C",1,1417
280,"C",0,1472
281,"T",0,1208
282,"C",0,1298
283,"T",0,1405
284,"T",0,1454
284,"T",1,1417
285,"C",0,1472
286,"T",0,1282
287,"C",0,1405
288,"T",0,1265
289,"T",0,1298
289,"T",1,1431
290,"T",0,1228
291,"C",0,1454
291,"C",1,1518
292,"C",0,1314
293,"C",0,1437
294,"C",0,1472
295,"T",0,1533
295,"T",1,1733
296,"C",0,1405
296,"C",1,1371
297,"C",0,1511
298,"C",0,1282
298,"C",1,1518
299,"C",0,1559
300,"C",0,1390
301,"C",0,1247
302,"C",0,1437
302,"C",1,1474
303,"C",0,1282
303,"C",1,1431
304,"C",0,1755
305,"T",0,1421
305,"T",1,1488
306,"T",0,1511
307,"T",0,1405
307,"T",1,1503
308,"T",0,1559
308,"T",1,1601
309,"T",0,1345
310,"T",0,1375
311,"C",0,1360
311,"C",1,1474
312,"C",0,1675
312,"C",1,1733
313,"C",0,1421
313,"C",1,1565
314,"T",0,1596
314,"T",1,1589
315,"T",0,1282
315,"T",1,1371
316,"C",0,1596
316,"C",1,1565
317,"C",0,1596
318,"T",0,1511
319,"C",1,1518
320,"T",0,1282
321,"T",0,1755
321,"T",1,1589
322,"T",0,1437
323,"C",1,1518
324,"T",0,1298
325,"C",0,1265
326,"C",0,1559
326,"C",1,1670
326,"C",2,1724
327,"C",0,1675
327,"C",1,1733
328,"C",1,1549
329,"T",1,1549
329,"T",2,1860
330,"T",1,1782
331,"C",0,1265
332,"T",0,1454
332,"T",1,1670
333,"T",0,1314
334,"C",0,1405
335,"T",0,1282
336,"C",1,1402
336,"C",2,1417
337,"C",0,1486
338,"C",0,1486
338,"C",1,1488
