stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
935871,Goodman,T,Female,Hispanic,No,0,1282,no,Notapproach
935871,Goodman,T,Female,Hispanic,No,1,1589,no,Meets
935871,Goodman,T,Female,Hispanic,No,2,1647,no,Meets
936127,Goodman,T,Male,Hispanic,No,0,1559,no,Meets
936230,Goodman,T,Male,Hispanic,No,0,1486,no,Meets
936269,Goodman,T,Male,Afamerican,No,0,1437,no,Approaches
936269,Goodman,T,Male,Afamerican,No,1,1467,no,Approaches
936360,OrangeGrove,C,Male,Hispanic,No,0,1511,no,Meets
936682,OrangeGrove,C,Male,Hispanic,No,1,1601,no,Meets
936692,OrangeGrove,C,Female,Hispanic,No,0,1314,no,Notapproach
936704,OrangeGrove,C,Female,Hispanic,No,0,1454,no,Approaches
936763,OrangeGrove,C,Male,Hispanic,No,0,1282,no,Notapproach
937531,Goodman,T,Male,Afamerican,No,0,1298,no,Notapproach
937847,Goodman,T,Male,Hispanic,No,0,1596,no,Masters
937859,Goodman,T,Male,Hispanic,No,0,1330,no,Notapproach
937946,OrangeGrove,C,Female,Hispanic,Yes,0,1129,no,Notapproach
938489,Goodman,T,Female,Hispanic,No,0,1486,no,Meets
938579,OrangeGrove,C,Male,Hispanic,No,0,1298,no,Notapproach
938597,OrangeGrove,C,Male,Hispanic,No,0,1314,no,Notapproach
938878,OrangeGrove,C,Female,Hispanic,No,0,1375,no,Approaches
939339,Goodman,T,Male,Afamerican,No,0,1185,no,Notapproach
939339,Goodman,T,Male,Afamerican,No,1,1431,no,Notapproach
939793,Goodman,T,Female,Hispanic,No,1,1733,no,Masters
939924,Goodman,T,Male,Hispanic,Yes,0,1208,no,Notapproach
939924,Goodman,T,Male,Hispanic,Yes,1,1319,no,Notapproach
940131,OrangeGrove,C,Female,Hispanic,No,0,1625,no,Masters
940131,OrangeGrove,C,Female,Hispanic,No,1,1733,no,Masters
940172,OrangeGrove,C,Male,Hispanic,No,0,1596,no,Masters
940176,OrangeGrove,C,Female,Hispanic,No,0,1330,no,Notapproach
940182,OrangeGrove,C,Male,Hispanic,No,0,1330,no,Notapproach
940182,OrangeGrove,C,Male,Hispanic,No,1,1417,no,Notapproach
940349,OrangeGrove,C,Male,Hispanic,No,0,1472,no,Approaches
940498,Goodman,T,Male,Afamerican,Yes,0,1208,no,Notapproach
940585,OrangeGrove,C,Male,Hispanic,No,0,1298,no,Notapproach
940701,Goodman,T,Male,Hispanic,No,0,1405,no,Approaches
940749,Goodman,T,Male,Hispanic,No,0,1454,no,Approaches
940749,Goodman,T,Male,Hispanic,No,1,1417,no,Notapproach
940922,OrangeGrove,C,Female,Hispanic,No,0,1472,no,Approaches
941108,Goodman,T,Female,Hispanic,No,0,1282,no,Notapproach
941371,OrangeGrove,C,Male,Hispanic,No,0,1405,no,Approaches
941708,Goodman,T,Female,Afamerican,No,0,1265,no,Notapproach
942722,Goodman,T,Female,Hispanic,No,0,1298,no,Notapproach
942722,Goodman,T,Female,Hispanic,No,1,1431,no,Notapproach
943583,Goodman,T,Female,Afamerican,No,0,1228,no,Notapproach
943677,OrangeGrove,C,Male,Hispanic,No,0,1454,no,Approaches
943677,OrangeGrove,C,Male,Hispanic,No,1,1518,no,Approaches
944317,OrangeGrove,C,Male,Hispanic,No,0,1314,no,Notapproach
944330,OrangeGrove,C,Male,Hispanic,No,0,1437,no,Approaches
944434,OrangeGrove,C,Female,Hispanic,No,0,1472,no,Approaches
944687,Goodman,T,Female,Hispanic,No,0,1533,no,Meets
944687,Goodman,T,Female,Hispanic,No,1,1733,no,Masters
946382,OrangeGrove,C,Male,Hispanic,No,0,1405,no,Approaches
946382,OrangeGrove,C,Male,Hispanic,No,1,1371,no,Notapproach
947503,OrangeGrove,C,Male,Hispanic,No,0,1511,no,Meets
947717,OrangeGrove,C,Female,Hispanic,No,0,1282,no,Notapproach
947717,OrangeGrove,C,Female,Hispanic,No,1,1518,no,Approaches
948098,OrangeGrove,C,Female,Hispanic,No,0,1559,no,Meets
948243,OrangeGrove,C,Female,Hispanic,No,0,1390,no,Approaches
948336,OrangeGrove,C,Female,Hispanic,No,0,1247,no,Notapproach
948342,OrangeGrove,C,Female,Hispanic,No,0,1437,no,Approaches
948342,OrangeGrove,C,Female,Hispanic,No,1,1474,no,Approaches
949157,OrangeGrove,C,Female,Afamerican,Yes,0,1282,no,Notapproach
949157,OrangeGrove,C,Female,Afamerican,Yes,1,1431,no,Notapproach
949412,OrangeGrove,C,Male,Afamerican,No,0,1755,no,Masters
949482,Goodman,T,Male,Hispanic,No,0,1421,no,Approaches
949482,Goodman,T,Male,Hispanic,No,1,1488,no,Approaches
