stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
918629,Goodman,T,Female,Hispanic,No,0,1228,no,Notapproach
918922,Goodman,T,Male,Hispanic,Yes,2,1563,no,Approaches
919142,OrangeGrove,C,Female,Hispanic,No,0,1486,no,Meets
919142,OrangeGrove,C,Female,Hispanic,No,1,1782,no,Masters
919142,OrangeGrove,C,Female,Hispanic,No,2,1739,no,Masters
919176,OrangeGrove,C,Male,Hispanic,No,0,1375,no,Approaches
919176,OrangeGrove,C,Male,Hispanic,No,1,1488,no,Approaches
919176,OrangeGrove,C,Male,Hispanic,No,2,1809,no,Masters
919256,OrangeGrove,C,Male,Hispanic,No,0,1454,no,Approaches
919557,OrangeGrove,C,Male,Hispanic,Yes,0,1228,no,Notapproach
919557,OrangeGrove,C,Male,Hispanic,Yes,1,1446,no,Notapproach
919557,OrangeGrove,C,Male,Hispanic,Yes,2,1462,no,Notapproach
919565,OrangeGrove,C,Female,Hispanic,No,0,1330,no,Notapproach
919565,OrangeGrove,C,Female,Hispanic,No,1,1467,no,Approaches
919621,OrangeGrove,C,Male,Hispanic,No,0,1421,no,Approaches
919621,OrangeGrove,C,Male,Hispanic,No,1,1503,no,Approaches
919621,OrangeGrove,C,Male,Hispanic,No,2,1578,no,Approaches
919708,OrangeGrove,C,Male,Hispanic,No,0,1437,no,Approaches
919708,OrangeGrove,C,Male,Hispanic,No,1,1565,no,Approaches
919708,OrangeGrove,C,Male,Hispanic,No,2,1611,no,Approaches
919728,OrangeGrove,C,Male,Hispanic,No,0,1208,no,Notapproach
919728,OrangeGrove,C,Male,Hispanic,No,1,1319,no,Notapproach
919728,OrangeGrove,C,Male,Hispanic,No,2,1476,no,Notapproach
