stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
931056,bus,C,Female,Hispanic,LEP,No,0,Yes,1444,Meets
931056,bus,C,Female,Hispanic,LEP,No,1,Yes,1569,Meets
931056,bus,C,Female,Hispanic,LEP,No,2,Yes,1659,Meets
931062,caro,T,Female,Hispanic,LEP,No,0,No,1312,Notapproach
931062,caro,T,Female,Hispanic,LEP,No,1,No,1424,Notapproach
931062,caro,T,Female,Hispanic,LEP,No,2,No,1564,Approaches
931065,jon,C,Female,Hispanic,LEP,No,0,No,1180,Notapproach
931065,jon,C,Female,Hispanic,LEP,No,1,No,1311,Notapproach
931076,jon,C,Female,Hispanic,LEP,No,0,Yes,1281,Notapproach
931076,jon,C,Female,Hispanic,LEP,No,1,No,1356,Notapproach
931076,jon,C,Female,Hispanic,LEP,No,2,No,1370,Notapproach
931079,har,C,Female,Hispanic,NotLEP,No,0,No,1372,Approaches
931079,har,C,Female,Hispanic,NotLEP,No,1,No,1480,Approaches
931079,har,C,Female,Hispanic,NotLEP,No,2,No,1517,Approaches
931106,jon,C,Female,Hispanic,secondyear,No,2,No,1450,Notapproach
931109,bus,C,Male,Afamerican,NotLEP,No,0,No,1372,Approaches
931122,bla,T,Male,Hispanic,LEP,No,0,Yes,1367,Approaches
931122,bla,T,Male,Hispanic,LEP,No,1,No,1424,Notapproach
931122,bla,T,Male,Hispanic,LEP,No,2,No,1503,Approaches
931125,jon,C,Female,Hispanic,NotLEP,No,2,No,1489,Approaches
931138,bla,T,Male,Hispanic,LEP,No,0,No,1327,Notapproach
931138,bla,T,Male,Hispanic,LEP,No,1,No,1434,Approaches
