stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
930298,bla,T,Female,Hispanic,LEP,No,1,No,1397,Notapproach
930298,bla,T,Female,Hispanic,LEP,No,2,No,1470,Approaches
930311,bus,C,Female,Hispanic,firstyear,No,0,Yes,1264,Notapproach
930313,bla,T,Male,Hispanic,LEP,No,0,No,1616,Masters
930333,bla,T,Male,Hispanic,LEP,No,0,Yes,1229,Notapproach
930334,bla,T,Male,Hispanic,LEP,No,0,Yes,1332,Approaches
930341,jon,C,Female,Hispanic,LEP,No,0,No,1437,Approaches
930341,jon,C,Female,Hispanic,LEP,No,1,No,1526,Approaches
930345,bus,C,Male,Hispanic,LEP,No,0,No,1468,Meets
930345,bus,C,Male,Hispanic,LEP,No,2,No,1517,Approaches
930362,bla,T,Male,Hispanic,secondyear,No,0,No,1893,Masters
930362,bla,T,Male,Hispanic,secondyear,No,1,No,1747,Masters
930362,bla,T,Male,Hispanic,secondyear,No,2,No,1870,Masters
930378,bla,T,Male,Hispanic,LEP,No,0,Yes,1264,Notapproach
930378,bla,T,Male,Hispanic,LEP,No,1,No,1370,Notapproach
930378,bla,T,Male,Hispanic,LEP,No,2,No,1470,Approaches
930383,caro,T,Male,Hispanic,LEP,No,0,No,1217,Notapproach
930391,bus,C,Male,Hispanic,secondyear,No,0,No,1616,Masters
930391,bus,C,Male,Hispanic,secondyear,No,1,No,1550,Meets
930391,bus,C,Male,Hispanic,secondyear,No,2,No,1599,Meets
930392,bus,C,Female,Hispanic,LEP,No,0,No,1282,Notapproach
930395,caro,T,Male,Hispanic,LEP,No,0,No,1455,Approaches
930395,caro,T,Male,Hispanic,LEP,No,1,No,1510,Approaches
930403,bus,C,Female,Hispanic,NotLEP,No,0,No,1468,Meets
930403,bus,C,Female,Hispanic,NotLEP,No,1,No,1434,Approaches
930403,bus,C,Female,Hispanic,NotLEP,No,2,No,1547,Approaches
